"DTI_CL_MES","Month","DTI_CL_ESTACIONES_METEO","DMC weather stations","Value","Flag Codes","Flags"
"2010-M10","2010 October","T001021","Cañal Bajo",22.8,,
"2010-M10","2010 October","T001022","El Tepual",21.5,,
"2010-M10","2010 October","T001023","Teniente Vidal",20.6,,
"2010-M10","2010 October","T001024","Balmaceda",21.1,,
"2010-M10","2010 October","T001025","Pdte. Carlos Ibáñez",16.8,,
"2010-M10","2010 October","T001026","Eduardo Frei Montalva",1.3,,
"2010-M11","2010 November","T001001","Chacalluta",22.7,,
"2010-M11","2010 November","T001002","Diego Aracena",22.2,,
"2010-M11","2010 November","T001003","Cerro Moreno",21.9,,
"2010-M11","2010 November","T001004","Mataveri",26.3,,
"2010-M11","2010 November","T001007","La Florida",21.6,,
"2010-M11","2010 November","T001009","Punta Ángeles",26,,
"2010-M11","2010 November","T001010","Jardín Botánico",29.6,,
"2010-M11","2010 November","T001011","Quinta Normal",33.8,,
"2010-M11","2010 November","T001012","Arturo Merino Benítezl",33.8,,
"2010-M11","2010 November","T001014","Juan Fernández",20.7,,
"2010-M11","2010 November","T001015","Graneros",32.5,,
"2010-M11","2010 November","T001016","General Freire",29.6,,
"2010-M11","2010 November","T001017","Bernardo O'Higgins",29.6,,
"2010-M11","2010 November","T001018","Carriel Sur",25.9,,
"2010-M11","2010 November","T001019","Maquehue",23.8,,
"2010-M11","2010 November","T001020","Pichoy",26,,
"2010-M11","2010 November","T001021","Cañal Bajo",24.2,,
"2010-M11","2010 November","T001022","El Tepual",20.8,,
"2010-M11","2010 November","T001023","Teniente Vidal",23.6,,
"2010-M11","2010 November","T001024","Balmaceda",22.4,,
"2010-M11","2010 November","T001025","Pdte. Carlos Ibáñez",18.4,,
"2010-M11","2010 November","T001026","Eduardo Frei Montalva",3.3,,
"2010-M12","2010 December","T001001","Chacalluta",24.2,,
"2010-M12","2010 December","T001002","Diego Aracena",24.6,,
"2010-M12","2010 December","T001003","Cerro Moreno",22.9,,
"2010-M12","2010 December","T001004","Mataveri",27,,
"2010-M12","2010 December","T001007","La Florida",22.8,,
"2010-M12","2010 December","T001009","Punta Ángeles",22.8,,
"2010-M12","2010 December","T001010","Jardín Botánico",27.4,,
"2010-M12","2010 December","T001011","Quinta Normal",33.5,,
"2010-M12","2010 December","T001012","Arturo Merino Benítezl",33.1,,
"2010-M12","2010 December","T001014","Juan Fernández",22.6,,
"2010-M12","2010 December","T001015","Graneros",32.3,,
"2010-M12","2010 December","T001016","General Freire",32.1,,
"2010-M12","2010 December","T001017","Bernardo O'Higgins",32.4,,
"2010-M12","2010 December","T001018","Carriel Sur",25.2,,
"2010-M12","2010 December","T001019","Maquehue",27.8,,
"2010-M12","2010 December","T001020","Pichoy",30,,
"2010-M12","2010 December","T001021","Cañal Bajo",28,,
